123,248
131,643
322,657
307,254
316,664
121,662
120,231
108,662
116,235
326,665
313,224
123,248
131,643
123,248
131,643
123,248
131,643
322,657
307,254
316,664
121,662
120,231
123,248
131,643
123,248
131,643
322,657
307,254
123,248
131,643
322,657
307,254
316,664
121,662
120,231
108,662
116,235
326,665
313,224
106,661
113,235
326,664
311,224
123,248
131,643
322,657
307,254
316,664
121,662
120,231
108,662
116,235
326,665
313,224
106,661
113,235
326,664
311,224
117,235
109,661
328,664
315,225
115,236
108,660
328,663
314,224
108,658
113,233
326,662
311,222
332,245
113,253
127,681
330,679
328,245
123,683
111,251
327,681
329,241
110,246
326,676
124,678
329,242
124,679
326,678
110,246
131,256
128,655
328,243
124,680
110,247
326,678
109,241
329,243
113,674
311,678
110,241
112,674
327,242
309,677
110,244
113,678
311,680
328,249
110,240
111,675
327,243
309,677
109,241
111,675
326,244
309,678
329,232
113,663
330,661
128,224
111,663
329,660
325,233
127,226
114,665
332,663
327,234
128,226
113,663
331,660
328,231
128,224
127,654
131,254
123,248
131,643
322,657
307,254
123,248
131,643
322,657
307,254
